,Tweet,Suicide,clean_text
164,RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,Not Suicide post,rt â one impact career everything marvel studios stan lee stan leaves extrâ
165,"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1",Potential Suicide post ,9 months ago grandmother passed away 8 months ago got heart completely broken 7 months ago almost attemâ
166,@that_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,Potential Suicide post ,really tired everything lame gay nothing serious us ever going happen anâ
167,trying to figure out how this works!,Not Suicide post,trying figure works
168,My life is miserable,Potential Suicide post ,life miserable
169,Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post,positive mental attitude today bad yesterday
170,good morning all,Not Suicide post,good morning
171,YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post,yay found amy girl lil bonita im excited go little girly things babes
172,I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ? http://twt.fm/33023,Not Suicide post,constantly amazed technology makes wonder check rad song quot tripping quot
173,Damn I fucking HATE myself,Potential Suicide post ,damn fucking hate
174,snuggling in bed with my little baby....ahhhh!,Not Suicide post,snuggling bed little baby ahhhh
175,mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post,mhm ohh early amp feel like whatching open arms gary go
176,@goobimama @EventBox isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,Not Suicide post,best twitter client simplicity 1 makes love
177,"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",Not Suicide post,ahhhh yeah updates boring quot unfollowed quot win take holiday
178,"@LizzieLib Could be - mine grew out, down my back and then all fell off",Not Suicide post,could mine grew back fell
179,RT @lisapryor23: @MillwallFC @zampathelion what a fun day ! https://t.co/jr18uTkFX4,Not Suicide post,rt fun day
180,"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not Suicide post,vou ler atd foi uma maratona let say glad lol
181,"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not Suicide post,laughter indeed best medicine whatever ur situation today find reason 2 smile wholeheartedly god good faithful amp loves u lt 3
182,"@bradesposito They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I woâ¦ https://t.co/UEfZi9HniT",Potential Suicide post ,want people like dead want help canada israel germany woâ
183,enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post,enjoyed n dubz gig last night finished early always bonus
184,i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,Potential Suicide post ,think tonight dont care nothing left dont care something great promising stripped past bone splinters pissed splinters dont want happiness dont want dreams dont care post note everyone desperately try stop know care die dead numb longer scared hurt much gotta go nothing left lot love give gone wanted someone hear end
185,RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post ,rt never get attach cause people wake different feelings everyday
186,do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,Potential Suicide post ,ever feel empty pick number 15 depending feel could write funeral speech point afew years would forgotten anyway
187,@Cellobella They don't do them in my size How r u?,Not Suicide post,size r u
188,"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",Not Suicide post,snowed okay enough build frosty snowed long cold might well snow enjoy day
189,"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I alreadyâ¦ https://t.co/FTr8WA8GLz",Potential Suicide post ,yall im sad cause keep seeing tweets invisible fact suicide note like alreadyâ
190,RT @B8SSONS: i hate feeling the way i do,Potential Suicide post ,rt hate feeling way
191,glad to see spring making a comeback in Denver today!,Not Suicide post,glad see spring making comeback denver today
192,@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post,hello g mrng wuzup hows twitterville sleeping evrythings cool
193,"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",Not Suicide post,nah think going sideways best really helps dodging bullets
194,Iâm so done with today like I just want to fucking kill myself,Potential Suicide post ,iâ done today like want fucking kill
195,@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,Not Suicide post,questions feel free email us sales co uk send dm twitter
196,"Itâs been nearly three years, but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7",Potential Suicide post ,itâ nearly three years still feel kylo ben solo doesnâ deserve redemption man killed owâ
197,"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu",Potential Suicide post ,right 200 slytherin 590 hufflepuff 520 ravenclaw sadly cut sprinâ
198,ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post ,ba ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate ð
199,@hillkath Hey there! Sent you a DM.,Not Suicide post,hey sent dm
200,@SILVERSUN You make the milk look REALLY good in your pictures,Not Suicide post,make milk look really good pictures
201,@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,Not Suicide post,totally love pic singing finnish
202,@JonathanRKnight,Not Suicide post,
203,"@catherinemarche Ooh, that's lovely",Not Suicide post,ooh lovely
204,"@geuphers, you will fully bloom after all the hardships. i love u ):",Not Suicide post,fully bloom hardships love u
205,"@myselfmp3 Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0",Potential Suicide post ,aw sorry try let get much obviously deserve first pâ
206,Showcase Quick @ VIP romm on Thursday,Not Suicide post,showcase quick vip romm thursday
